"번호","과정","레벨","단계","학년","id","문법 이름","문장 틀","한 줄 설명","예문 1","예문 2","예문 3","예문 4","예문 5","예문 6","예문 7","예문 8","이럴 때 써요","쉽게 이해하기","예문 해석","규칙","틀리기 쉬운 것 (✗ → ✓)","한 줄 정리","단어장 바꾸기 틀","넣을 카테고리","검수 메모"
"83","8품사","8품사","grow","8품사","pos-pronoun","대명사 (Pronoun)","Minji is kind. → She is kind.","앞에 나온 명사를 반복하지 않으려고 대신 쓰는 말이에요.","I met Jisu. She was very kind.","This is my bag, and that is yours.","Everyone loves him.","Is there anything in the box?","I made it myself.","","","","같은 이름을 계속 말하지 않으려고
나(I)·너(you)처럼 말하는 사람끼리 가리킬 때
this/that, something처럼 가리키거나 딱 정해지지 않은 것을 말할 때","인칭대명사: I, you, he, she, it, we, they — 자리에 따라 모양이 바뀌어요. (I – my – me – mine)
지시대명사: this(이것), that(저것), these(이것들), those(저것들)
부정대명사: someone, something, everyone, nothing처럼 딱 정해지지 않은 대상
재귀대명사: myself, yourself처럼 ""나 자신""을 말할 때 (I hurt myself.)","1. 지수를 만났어. 그녀는 정말 친절했어. (She = 지수)
2. 이건 내 가방이고, 저건 네 거야.
3. 모두가 그를 좋아해. (everyone은 단수 취급 → loves)
4. 상자 안에 뭐가 있니?
5. 내가 그걸 직접 만들었어. (myself = 나 스스로)","주격: I · you · he · she · it · we · they
목적격: me · you · him · her · it · us · them
this/that(하나) · these/those(여러 개)
-self/-selves: 자기 자신","✗ Me and my friend went to the park. → ✓ My friend and I went to the park. (주어 자리에는 주격 I)
✗ Everyone are happy. → ✓ Everyone is happy. (everyone은 단수 취급)","대명사를 보면 ""누구(무엇)를 대신하지?""를 앞 문장에서 찾아보세요.","(바꾸기 안 함)","",""
"84","8품사","8품사","grow","8품사","pos-verb","동사 (Verb)","I run. / She is happy. / They have a car.","주어가 하는 움직임이나 상태를 나타내요. 모든 문장에는 동사가 꼭 있어요.","Birds fly south in winter.","My brother is a doctor.","She studies English every day.","We went to the beach last summer.","You can use my pencil.","","","","무엇을 하는지(동작) 말할 때: run, eat, study
어떤 상태인지 말할 때: be, have, like, know
언제(시제)와 누가(주어)에 따라 모양이 바뀌어요","be동사: am, is, are, was, were — ""~이다, ~있다""
일반동사: be동사를 뺀 나머지 모든 동사 (play, go, like …)
조동사: can, will, must처럼 다른 동사를 도와 뜻을 더해요
동사의 세 가지 모양 원형(go) – 과거(went) – 과거분사(gone)를 같이 외우면 좋아요","1. 새들은 겨울에 남쪽으로 날아가.
2. 우리 형은 의사야. (is = 상태)
3. 그녀는 매일 영어를 공부해. (3인칭 단수 → studies)
4. 우리는 지난여름에 바닷가에 갔어. (go → went)
5. 내 연필 써도 돼. (조동사 can + 동사원형 use)","be동사: am · is · are / was · were
일반동사: 현재 3인칭 단수 -s, 과거 -ed (불규칙은 따로)
조동사 + 동사원형","✗ He go to school. → ✓ He goes to school. (3인칭 단수 현재는 -s/-es)
✗ I am like pizza. → ✓ I like pizza. (be동사와 일반동사를 같이 쓰지 않아요)","문장을 보면 먼저 동사를 찾으세요. 동사를 찾으면 주어와 목적어가 보여요.","I {verb} every day.","동작, 취미/오락, 일상생활, 스포츠",""
"85","8품사","8품사","grow","8품사","pos-adjective","형용사 (Adjective)","a big dog / The dog is big.","명사의 모양·색·크기·기분 같은 성질을 말해요.","I have a small white rabbit.","This cake is delicious.","You look happy today.","I want something cold to drink.","The movie was boring.","","","","명사를 앞에서 꾸밀 때: a tall boy
be동사·감각동사 뒤에서 주어를 설명할 때: He is tall. / You look tired.
비교할 때: taller, the tallest","자리 1 — 명사 앞: a **cute** puppy
자리 2 — be동사·look·feel 같은 동사 뒤: The puppy is **cute**.
여러 개를 쓸 때는 대체로 ""의견 → 크기 → 색"" 순서예요. (a nice big red car)
-thing으로 끝나는 말은 뒤에서 꾸며요: something **cold**","1. 나는 작고 하얀 토끼가 있어.
2. 이 케이크 맛있다.
3. 너 오늘 행복해 보여. (look 뒤에는 형용사)
4. 차가운 마실 것을 원해. (something 뒤에서 꾸밈)
5. 그 영화는 지루했어.","형용사 + 명사
be동사 / 감각동사 + 형용사
-thing + 형용사 (something new)","✗ I want cold something. → ✓ I want something cold. (-thing은 형용사가 뒤에서 꾸며요)
✗ You look happily. → ✓ You look happy. (look 뒤에는 형용사)","""어떤?""이라고 물었을 때 대답이 되는 말이 형용사예요.","It's {a_adj} {noun}.","색깔, 크기, 사물, 동물",""
"86","8품사","8품사","grow","8품사","pos-adverb","부사 (Adverb)","She runs fast. / It is very cold. / Luckily, I won.","동사·형용사·다른 부사·문장 전체를 꾸며서 ""어떻게, 얼마나, 언제, 얼마나 자주""를 더해요.","Please speak slowly.","It is really hot today.","She always gets up early.","He did well on the test.","Luckily, nobody was hurt.","","","","어떻게 했는지: slowly, carefully
얼마나 그런지: very, really, too
언제·얼마나 자주: now, yesterday, always, sometimes
문장 전체에 대한 생각: luckily, maybe","많은 부사는 형용사 + -ly로 만들어요: quick → quickly, happy → happily
모양이 형용사와 같은 것도 있어요: fast, hard, early, late
빈도부사(always, usually, often, sometimes, never)는 보통 일반동사 앞, be동사 뒤에 와요.
good의 부사는 well이에요.","1. 천천히 말해 주세요. (speak를 꾸밈)
2. 오늘 정말 덥다. (hot을 꾸밈)
3. 그녀는 항상 일찍 일어나. (빈도부사)
4. 그는 시험을 잘 봤어. (good이 아니라 well)
5. 다행히 아무도 다치지 않았어. (문장 전체를 꾸밈)","형용사 + -ly (y → ily)
fast · hard · early · late = 형용사와 모양이 같음
빈도부사: 일반동사 앞 / be동사·조동사 뒤","✗ He did good on the test. → ✓ He did well on the test. (동사를 꾸밀 때는 부사 well)
✗ She gets always up early. → ✓ She always gets up early. (빈도부사는 일반동사 앞)","형용사는 명사만, 부사는 나머지 전부를 꾸민다고 기억하세요.","(바꾸기 안 함)","",""
"87","8품사","8품사","grow","8품사","pos-preposition","전치사 (Preposition)","in the box / at 3 o'clock / with my friend","명사 앞에 붙어서 장소·시간·방향·함께 등을 알려 줘요.","The keys are on the table.","I was born in May.","Let's meet at the bus stop.","I went to the park with my dad.","Wash your hands before eating.","","","","어디에: in, on, under, next to
언제: at, on, in, before, after
어디로·누구와·무엇으로: to, from, with, by","명사 ""앞에 두는 말""이라서 전치사예요. 뒤에는 항상 명사(대명사)가 와요: with **me** (with I ✗)
시간: at + 시각 / on + 요일·날짜 / in + 월·계절·연도
장소: at + 한 지점 / on + 표면 위 / in + 공간 안
전치사 뒤에 동사가 오면 -ing: before **eating**","1. 열쇠는 탁자 위에 있어.
2. 나는 5월에 태어났어.
3. 버스 정류장에서 만나자.
4. 아빠랑 공원에 갔어.
5. 먹기 전에 손을 씻어. (전치사 뒤 동사는 -ing)","전치사 + 명사 / 대명사(목적격)
전치사 + 동명사(-ing)","✗ Come with I. → ✓ Come with me. (전치사 뒤에는 목적격)
✗ I am good at swim. → ✓ I am good at swimming. (전치사 뒤 동사는 -ing)","전치사는 뜻만 외우기보다 ""in the box, on Monday""처럼 덩어리로 외우세요.","(바꾸기 안 함)","",""
"88","8품사","8품사","grow","8품사","pos-conjunction","접속사 (Conjunction)","A and B / A but B / because ~ / when ~","단어와 단어, 문장과 문장을 이어 주는 말이에요.","I like tea and coffee.","It is small but strong.","Do you want juice or milk?","I stayed home because it was raining.","When I was young, I lived in Busan.","","","","비슷한 말을 이을 때: and, or
반대되는 말을 이을 때: but
이유·조건·때를 붙일 때: because, if, when
""~라는 것""을 말할 때: that","and, but, or, so는 같은 무게의 두 말을 나란히 이어요.
because, if, when, although, that은 한쪽 문장이 다른 문장의 이유·조건·때·내용이 되게 해요.
because 뒤에는 주어 + 동사, because of 뒤에는 명사가 와요.","1. 나는 차와 커피를 좋아해.
2. 그건 작지만 튼튼해.
3. 주스 마실래, 우유 마실래?
4. 비가 와서 집에 있었어.
5. 어렸을 때 나는 부산에 살았어.","and · but · or · so: 나란히 연결
because · if · when · although · that + 주어 + 동사","✗ Because it was raining. → ✓ I stayed home because it was raining. (because 문장만 혼자 쓰지 않아요)
✗ Although he is rich, but he is not happy. → ✓ Although he is rich, he is not happy. (although와 but을 같이 쓰지 않아요)","접속사를 보면 문장을 두 덩어리로 나눠서 읽어 보세요.","(바꾸기 안 함)","",""
"89","8품사","8품사","bridge","8품사","pos-interjection","감탄사 (Interjection)","Wow! / Oh, … / Oops!","놀람·기쁨·아픔 같은 감정을 짧게 나타내는 말이에요.","Wow, that's amazing!","Ouch! That hurts.","Oops, I dropped my phone.","Hooray! We won the game!","Hmm, let me think.","","","","감정을 바로 표현할 때
대화에서 자연스럽게 반응할 때","문장의 다른 부분과 문법적으로 연결되지 않아요. 빼도 문장이 성립해요.
뒤에 느낌표(!)나 쉼표(,)를 붙여요.
자주 쓰는 것: wow(와!), oh(아), oops(아이고), ouch(아야), hooray(만세), hmm(음…)","1. 와, 정말 멋지다!
2. 아야! 아파.
3. 아이고, 휴대폰 떨어뜨렸다.
4. 만세! 우리가 이겼어!
5. 음, 생각해 볼게.","감탄사 + ! 또는 ,","","감탄사는 억양을 살려 크게 읽어 보면 금방 익숙해져요.","(바꾸기 안 함)","",""
"90","시제","시제","entry","시제","tense-overview","시제 한눈에 보기 (12시제)","I play / played / will play · am playing · have played · have been playing","시제는 ""언제""(과거·현재·미래) 일어난 일인지와 ""어떤 모습""(끝났는지, 하는 중인지)을 동사 모양으로 나타내요.","I play soccer every Sunday.","I played soccer yesterday.","I will play soccer tomorrow.","I am playing soccer now.","I have played soccer for five years.","I have been playing soccer since noon.","","","과거·현재·미래 3가지 때 × 단순·진행·완료·완료진행 4가지 모습 = 12시제예요.
처음에는 단순 3개(현재·과거·미래) → 진행 → 현재완료 순서로 익히면 충분해요.","단순: 사실·습관·한 번 일어난 일 (play / played / will play)
진행: 그때 하고 있는 중 (am playing / was playing / will be playing)
완료: 그때까지 이어지거나 끝난 일 (have played / had played / will have played)
완료진행: 그때까지 계속 하고 있던 중 (have been playing / had been playing / will have been playing)","1. 나는 일요일마다 축구를 해. (현재: 습관)
2. 나는 어제 축구를 했어. (과거)
3. 나는 내일 축구를 할 거야. (미래)
4. 나는 지금 축구를 하는 중이야. (현재진행)
5. 나는 5년 동안 축구를 해 왔어. (현재완료: 계속)
6. 나는 정오부터 계속 축구를 하고 있어. (현재완료진행)","단순: play · played · will play
진행: be + 동사ing
완료: have + 과거분사
완료진행: have been + 동사ing","✗ I am play soccer now. → ✓ I am playing soccer now. (진행형은 be + 동사ing)","""언제?"" 다음에 ""끝났어? 하는 중이야?""를 물어보면 시제가 정해져요.","(바꾸기 안 함)","",""
"91","시제","시제","entry","시제","tense-present","현재 (Present Simple)","I play … / She plays …","늘 하는 습관, 변하지 않는 사실, 정해진 일정을 말해요.","I get up at seven every day.","Water boils at 100 degrees.","She lives in Seoul.","The train leaves at 9 a.m.","He doesn't eat meat.","","","","매일·자주 하는 일: I walk to school.
언제나 참인 사실: The sun rises in the east.
시간표처럼 정해진 일: The train leaves at 9.","I, you, we, they가 주어면 동사원형을 그대로 써요.
he, she, it(3인칭 단수)이 주어면 동사에 -s/-es를 붙여요. (plays, watches, studies)
부정문은 don't/doesn't + 동사원형, 의문문은 Do/Does + 주어 + 동사원형?
every day, always, usually 같은 말과 자주 같이 써요.","1. 나는 매일 7시에 일어나. (습관)
2. 물은 100도에서 끓어. (사실)
3. 그녀는 서울에 살아.
4. 기차는 오전 9시에 떠나. (정해진 일정)
5. 그는 고기를 안 먹어.","I · you · we · they + 동사원형
he · she · it + 동사-s/-es
부정: don't/doesn't + 원형 · 의문: Do/Does + 주어 + 원형?","✗ She don't like it. → ✓ She doesn't like it. (3인칭 단수는 doesn't)
✗ Does he likes it? → ✓ Does he like it? (Does 뒤에는 동사원형)","""늘, 항상, 원래""라는 말이 어울리면 현재시제예요.","She {verb_s} every day.","동작, 취미/오락, 일상생활, 스포츠",""
"92","시제","시제","entry","시제","tense-past","과거 (Past Simple)","I played … / I went …","이미 끝난 과거의 일을 말해요.","I visited my grandma last weekend.","She bought a new phone yesterday.","We didn't watch TV last night.","Did you see the rainbow?","He was tired an hour ago.","","","","어제·지난주·몇 년 전에 한 일을 말할 때
yesterday, last ~, ~ ago, in 2020 같은 말과 함께","규칙 동사는 -ed를 붙여요: play → played, study → studied, stop → stopped
불규칙 동사는 따로 외워요: go → went, eat → ate, see → saw
부정문은 didn't + 동사원형, 의문문은 Did + 주어 + 동사원형?
be동사의 과거는 was(I, he, she, it) / were(you, we, they)","1. 나는 지난 주말에 할머니 댁에 갔어.
2. 그녀는 어제 새 휴대폰을 샀어. (buy → bought)
3. 우리는 어젯밤에 TV를 안 봤어.
4. 무지개 봤어?
5. 그는 한 시간 전에 피곤했어.","규칙: 동사 + -ed
불규칙: go–went · eat–ate · see–saw · buy–bought
부정: didn't + 원형 · 의문: Did + 주어 + 원형?","✗ Did you went there? → ✓ Did you go there? (Did 뒤에는 동사원형)
✗ I goed to school. → ✓ I went to school. (go는 불규칙 → went)","과거를 콕 집는 말(yesterday, ago, last)이 있으면 과거시제예요.","I {verb_ed} yesterday.","동작, 취미/오락, 일상생활, 스포츠",""
"93","시제","시제","grow","시제","tense-future","미래 (will / be going to)","I will play … / I am going to play …","앞으로 일어날 일, 계획, 예측을 말해요.","I will call you tonight.","Look at the clouds. It is going to rain.","We are going to visit Jeju next month.","Will you help me?","I won't be late.","","","","지금 막 정한 일·약속: I will call you.
이미 정해 둔 계획: I am going to visit Jeju.
앞으로의 예측: It will be sunny tomorrow.","will + 동사원형: 즉석에서 정한 일, 약속, 막연한 예측
be going to + 동사원형: 미리 정한 계획, 눈앞의 증거가 있는 예측 (구름이 잔뜩 → It is going to rain.)
부정: won't(will not) / am not going to
때·조건을 말하는 when/if 문장 안에서는 미래도 현재시제를 써요.","1. 오늘 밤에 전화할게. (약속)
2. 구름 좀 봐. 비가 오겠다. (눈앞의 증거)
3. 우리는 다음 달에 제주도에 갈 거야. (계획)
4. 나 좀 도와줄래?
5. 늦지 않을게.","will + 동사원형
be going to + 동사원형
부정: won't + 원형","✗ I will to go there. → ✓ I will go there. (will 뒤에는 동사원형)
✗ She is going to visits us. → ✓ She is going to visit us. (to 뒤에는 동사원형)","""지금 정했다""면 will, ""이미 정해 뒀다""면 be going to를 떠올리세요.","I will {verb} tomorrow.","동작, 취미/오락, 일상생활, 스포츠",""
"94","시제","시제","grow","시제","tense-present-progressive","현재진행 (am/is/are + ing)","I am [ ]ing now.","지금 이 순간 하고 있는 일을 말해요.","I am reading a book now.","Look! It is snowing.","They are playing in the yard.","What are you doing?","She isn't sleeping.","","","","말하는 지금 하고 있는 일: I am eating.
요즘 잠깐 하고 있는 일: I am learning Chinese these days.
가까운 미래의 확정된 약속: I am meeting him tomorrow.","am/is/are + 동사ing
-ing 만드는 법: e로 끝나면 e 빼고(make → making), 단모음+단자음이면 한 번 더(run → running), ie는 y로(lie → lying)
know, like, want, have(가지다), believe 같은 ""상태""를 나타내는 동사는 진행형으로 거의 안 써요.","1. 나는 지금 책을 읽고 있어.
2. 봐! 눈이 오고 있어.
3. 그들은 마당에서 놀고 있어.
4. 너 뭐 하고 있어?
5. 그녀는 자고 있지 않아.","am · is · are + 동사ing
상태동사(know · like · want)는 진행형 ✗","✗ I am knowing him. → ✓ I know him. (know는 상태동사라 진행형 ✗)
✗ He is runing. → ✓ He is running. (run → running (n을 한 번 더))","""지금 ~하는 중""이라고 해석되면 현재진행이에요.","I'm {verb_ing} now.","동작, 취미/오락, 일상생활, 스포츠",""
"95","시제","시제","grow","시제","tense-past-progressive","과거진행 (was/were + ing)","I was [ ]ing when …","과거의 어느 순간에 하고 있던 일을 말해요.","I was taking a shower when you called.","They were playing games at 8 p.m.","It was raining all morning.","What were you doing then?","While I was cooking, he was cleaning.","","","","그때 무엇을 하고 있었는지: At 8 p.m., I was studying.
하고 있던 일 도중에 다른 일이 일어났을 때: I was sleeping when you called.","was/were + 동사ing
길게 이어지던 일은 과거진행, 중간에 짧게 끼어든 일은 과거시제로 써요.
while(~하는 동안) 뒤에 자주 와요: While I was cooking, …","1. 네가 전화했을 때 나는 샤워하고 있었어.
2. 그들은 저녁 8시에 게임을 하고 있었어.
3. 아침 내내 비가 오고 있었어.
4. 그때 뭐 하고 있었어?
5. 내가 요리하는 동안 그는 청소하고 있었어.","was(I · he · she · it) / were(you · we · they) + 동사ing
긴 배경 = 과거진행 · 끼어든 일 = 과거","✗ We was playing. → ✓ We were playing. (we는 were)
✗ I was sleep when you called. → ✓ I was sleeping when you called. (was 뒤에는 동사ing)","""그때 ~하고 있었다""로 해석되면 과거진행이에요.","I was {verb_ing} at 8 p.m.","동작, 취미/오락, 일상생활, 스포츠",""
"96","시제","시제","grow","시제","tense-future-progressive","미래진행 (will be + ing)","I will be [ ]ing …","미래의 어느 순간에 하고 있을 일을 말해요.","I will be sleeping at midnight.","This time tomorrow, we will be flying to Japan.","She will be waiting for you.","Don't call at 7. I will be having dinner.","Will you be using the computer tonight?","","","","내일 이 시간에 무엇을 하고 있을지: This time tomorrow, I will be flying.
상대의 계획을 부드럽게 물을 때: Will you be using the car tonight?","will be + 동사ing
미래의 특정 시점(at 9 tomorrow, this time next week)과 함께 자주 써요.","1. 자정에는 자고 있을 거야.
2. 내일 이 시간에 우리는 일본으로 날아가고 있을 거야.
3. 그녀가 너를 기다리고 있을 거야.
4. 7시에는 전화하지 마. 저녁 먹고 있을 거야.
5. 오늘 밤에 컴퓨터 쓸 거니?","will be + 동사ing","✗ I will be sleep at midnight. → ✓ I will be sleeping at midnight. (be 뒤에는 동사ing)","""미래의 그 순간에 ~하고 있을 거야""라고 해석되면 미래진행이에요.","I will be {verb_ing} at 9 tonight.","동작, 취미/오락, 일상생활, 스포츠",""
"97","시제","시제","bridge","시제","tense-present-perfect","현재완료 (have + 과거분사)","I have [과거분사] …","과거에 시작된 일이 지금까지 이어지거나, 지금에 영향을 주고 있을 때 써요.","I have lived here for ten years.","She has already eaten lunch.","Have you ever been to Japan?","I have lost my key.","We haven't finished yet.","","","","경험: ~해 본 적이 있다 (ever, never, before)
계속: 지금까지 ~해 왔다 (for, since)
완료: 막/벌써 ~했다 (just, already, yet)
결과: ~해서 지금 …이다 (I have lost my key. → 지금 열쇠가 없음)","have/has + 과거분사(p.p.)
과거는 ""그때"" 일만 말하고, 현재완료는 ""그때부터 지금까지""를 말해요.
yesterday, last week, ago, in 2020처럼 과거를 콕 집는 말과는 같이 안 써요.
for + 기간(for three years), since + 시작 시점(since 2020)","1. 나는 10년 동안 여기 살아 왔어. (계속: 지금도 삶)
2. 그녀는 벌써 점심을 먹었어. (완료)
3. 일본에 가 본 적 있어? (경험)
4. 나 열쇠를 잃어버렸어. (결과: 지금 없음)
5. 우리는 아직 못 끝냈어.","have/has + 과거분사
경험 · 계속 · 완료 · 결과
과거 시점 표현(yesterday · ago)과 함께 ✗","✗ I have met him yesterday. → ✓ I met him yesterday. (yesterday가 있으면 과거시제)
✗ Have you ever went there? → ✓ Have you ever been there? (have 뒤에는 과거분사)","""지금은 어떤데?""를 같이 말하고 싶으면 현재완료예요.","(바꾸기 안 함)","",""
"98","시제","시제","bridge","시제","tense-past-perfect","과거완료 (had + 과거분사)","When I arrived, it had already [과거분사].","과거의 어느 때보다 더 먼저 일어난 일을 말해요.","When I arrived, the movie had already started.","She had never seen the sea before that trip.","I had finished my homework before dinner.","He told me he had lost his bag.","They had lived there for years before they moved.","","","","과거 두 사건의 순서를 분명히 할 때
""그때까지 ~해 본 적이 없었다""처럼 과거 기준의 경험·계속","had + 과거분사 (주어에 상관없이 had)
과거 시점(A)보다 더 이전(B)의 일 → B를 과거완료로 써요.
When I got there, the bus had left. → 버스가 떠난 게 먼저, 내가 도착한 게 나중","1. 내가 도착했을 때 영화는 이미 시작했었다.
2. 그녀는 그 여행 전까지 바다를 본 적이 없었다.
3. 나는 저녁 먹기 전에 숙제를 끝냈었다.
4. 그는 가방을 잃어버렸었다고 나에게 말했다.
5. 그들은 이사하기 전 몇 년 동안 거기 살았었다.","had + 과거분사
""과거보다 더 과거"" (대과거)","✗ When I arrived, the movie has already started. → ✓ When I arrived, the movie had already started. (과거보다 더 이전은 had + p.p.)","두 과거 사건 중 ""더 먼저"" 일어난 쪽에 had를 붙이세요.","(바꾸기 안 함)","",""
"99","시제","시제","bridge","시제","tense-future-perfect","미래완료 (will have + 과거분사)","By [미래 시점], I will have [과거분사].","미래의 어느 때까지 끝나 있거나, 그때까지 이어져 온 일을 말해요.","I will have finished this book by Friday.","By next year, she will have graduated.","Next month, we will have lived here for ten years.","The store will have closed by then.","By 9 p.m., I will have done my homework.","","","","""~까지는 다 끝나 있을 거야""라고 말할 때
""그때가 되면 ~한 지 N년이 된다""라고 말할 때","will have + 과거분사
by + 미래 시점(by Friday, by next year)과 자주 같이 써요.","1. 금요일까지는 이 책을 다 읽었을 거야.
2. 내년이면 그녀는 졸업했을 거야.
3. 다음 달이면 우리가 여기 산 지 10년이 된다.
4. 그때쯤이면 가게는 문을 닫았을 거야.
5. 밤 9시까지는 숙제를 다 했을 거야.","will have + 과거분사
by + 미래 시점","✗ By Friday, I will finish it. (끝나 있음을 강조) → ✓ By Friday, I will have finished it. (""~까지 끝나 있을"" 것은 미래완료)","""by + 미래""가 보이면 미래완료인지 먼저 의심해 보세요.","(바꾸기 안 함)","",""
"100","시제","시제","grow","시제","tense-present-perfect-progressive","현재완료진행 (have been + ing)","I have been [ ]ing for/since …","과거에 시작해서 지금 이 순간까지 계속 하고 있는 일을 말해요.","I have been waiting for you for an hour.","It has been raining since morning.","She has been studying English for three years.","How long have you been learning the piano?","We have been talking on the phone all night.","","","","""~부터 지금까지 계속 ~하고 있다""를 강조할 때
방금까지 하던 일의 흔적이 보일 때: You look tired. Have you been running?","have/has been + 동사ing
현재완료(계속)보다 ""지금도 하고 있는 중""이라는 느낌이 더 강해요.
for + 기간, since + 시작 시점, How long …? 과 자주 써요.","1. 너를 한 시간째 기다리고 있어.
2. 아침부터 계속 비가 오고 있어.
3. 그녀는 3년째 영어를 공부하고 있어.
4. 피아노를 배운 지 얼마나 됐어?
5. 우리는 밤새 통화하고 있어.","have/has been + 동사ing","✗ I have been wait for an hour. → ✓ I have been waiting for an hour. (been 뒤에는 동사ing)","""~째 하고 있다""로 해석되면 현재완료진행이에요.","I have been {verb_ing} all day.","동작, 취미/오락, 일상생활, 스포츠",""
"101","시제","시제","bridge","시제","tense-past-perfect-progressive","과거완료진행 (had been + ing)","I had been [ ]ing when …","과거의 어느 때까지 계속 하고 있던 일을 말해요.","I had been waiting for an hour when he finally came.","She was tired because she had been running.","They had been living in Seoul before they moved.","It had been snowing all night, so the roads were white.","He had been working there for five years when he quit.","","","","과거의 한 사건이 일어났을 때까지 얼마나 오래 해 왔는지 말할 때","had been + 동사ing
현재완료진행을 한 칸 과거로 옮긴 모양이에요.","1. 그가 마침내 왔을 때 나는 한 시간째 기다리고 있었다.
2. 그녀는 계속 달려서 피곤했다.
3. 그들은 이사하기 전까지 서울에 살고 있었다.
4. 밤새 눈이 와서 길이 하얬다.
5. 그만둘 때 그는 거기서 5년째 일하고 있었다.","had been + 동사ing","✗ I had been wait for an hour. → ✓ I had been waiting for an hour. (been 뒤에는 동사ing)","""그때까지 ~째 하고 있었다""로 해석되면 과거완료진행이에요.","(바꾸기 안 함)","",""
"102","시제","시제","bridge","시제","tense-future-perfect-progressive","미래완료진행 (will have been + ing)","By [미래 시점], I will have been [ ]ing for …","미래의 어느 때까지 계속 하고 있을 일을 말해요. 일상 대화에서는 드물게 써요.","By next month, I will have been working here for a year.","At 6, we will have been driving for five hours.","Next spring, she will have been teaching for 20 years.","By noon, they will have been playing for three hours.","In June, I will have been learning English for ten years.","","","","""그때가 되면 ~째 하고 있는 셈이다""라고 기간을 강조할 때","will have been + 동사ing
by + 미래 시점, for + 기간과 함께 써요.","1. 다음 달이면 여기서 일한 지 1년째가 된다.
2. 6시가 되면 우리는 다섯 시간째 운전하고 있는 셈이다.
3. 내년 봄이면 그녀는 20년째 가르치고 있게 된다.
4. 정오가 되면 그들은 세 시간째 경기하고 있을 것이다.
5. 6월이면 나는 영어를 배운 지 10년째가 된다.","will have been + 동사ing","✗ I will have been work here for a year. → ✓ I will have been working here for a year. (been 뒤에는 동사ing)","12시제 중 가장 드물어요. ""미래 기준 ~째""만 알아 두면 충분해요.","(바꾸기 안 함)","",""
"103","5형식","5형식","entry","5형식","forms-overview","5형식 한눈에 보기","1형식 S+V · 2형식 S+V+C · 3형식 S+V+O · 4형식 S+V+IO+DO · 5형식 S+V+O+OC","영어 문장은 동사 뒤에 무엇이 오느냐에 따라 다섯 가지 모양이 있어요.","Birds sing.","She is a nurse.","I love music.","He gave me a book.","The news made me sad.","","","","문장을 주어·동사·목적어·보어로 나눠 보면 긴 문장도 해석이 쉬워져요.
동사마다 자주 쓰는 형식이 있어서, 동사를 외울 때 같이 외우면 좋아요.","S(주어): 누가 · V(동사): 한다/이다
C(보어): 주어나 목적어가 누구인지·어떤 상태인지 채워 주는 말 (명사·형용사)
O(목적어): ~을/를 받는 대상 · IO(간접목적어): ~에게 · DO(직접목적어): ~을
in the park, every day 같은 꾸미는 말(수식어)은 형식을 셀 때 빼요.","1. 새들이 노래한다. (1형식)
2. 그녀는 간호사다. (2형식: a nurse = 그녀)
3. 나는 음악을 사랑한다. (3형식)
4. 그는 나에게 책을 줬다. (4형식)
5. 그 소식은 나를 슬프게 했다. (5형식: sad = 나의 상태)","1형식: S + V
2형식: S + V + C
3형식: S + V + O
4형식: S + V + IO(~에게) + DO(~을)
5형식: S + V + O + OC","","동사 뒤의 말이 주어와 ""=""이면 보어, ""~을/를""이면 목적어예요.","(바꾸기 안 함)","",""
"104","5형식","5형식","grow","5형식","forms-1","1형식 (주어 + 동사)","[주어] [동사] (+ 꾸미는 말)","주어와 동사만으로 뜻이 완성되는 문장이에요.","The baby cried.","We walked in the park.","My dad lives in Canada.","The accident happened last night.","There is a cat on the roof.","","","","있다·가다·오다·일어나다처럼 대상 없이 끝나는 동작을 말할 때","뒤에 오는 in the park, every day 같은 말은 꾸미는 말(수식어)이라 형식에 넣지 않아요.
There is/are도 1형식이에요. (There is a cat. = 고양이가 있다)
대표 동사: go, come, run, arrive, happen, live, be(있다)","1. 아기가 울었다.
2. 우리는 공원에서 걸었다. (in the park는 수식어)
3. 우리 아빠는 캐나다에 사신다.
4. 그 사고는 어젯밤에 일어났다.
5. 지붕 위에 고양이가 있다.","S + V (+ 부사 / 전치사 + 명사)
go · come · run · arrive · happen · live · be(있다)","✗ The accident was happened. → ✓ The accident happened. (happen은 목적어가 없어 수동태가 안 돼요)","동사 뒤를 가려도 뜻이 통하면 1형식이에요.","I {verb} every day.","동작, 취미/오락, 일상생활, 스포츠",""
